protein1,protein2,label
Q00536,O43829,Positive
Q00536,Q569K4,Negative
Q00536,Q8N6D2,Negative
Q00536,Q9NVV4,Negative
Q9NXR5,Q92624,Positive
Q9NXR5,P78424,Positive
Q9NXR5,Q9BXJ0,Negative
Q9NXR5,Q9BW60,Negative
Q9NXR5,Q02297,Negative
Q9NXR7,Q9NWV8,Positive
Q9NXR7,Q9NXG2,Negative
Q9NXR7,Q9UBI9,Negative
Q9NXR7,P04150,Negative
O00244,O43822,Positive
O00244,Q9NWS6,Positive
O00244,O95749,Positive
O00244,Q9NXC5,Negative
O00244,Q1A5X7,Negative
O00244,Q6IFN5,Negative
Q9UBM8,Q6NZI2,Negative
Q9UBM8,Q99623,Negative
Q9UBM8,Q9H008,Negative
Q86U70,Q9UPM6,Positive
Q86U70,Q68G74,Positive
Q86U70,P25800,Positive
Q86U70,P25791,Positive
Q86U70,P61968,Positive
Q86U70,Q9BWW4,Positive
O00241,Q9NP55,Positive
O00241,O75553,Positive
O00241,P50222,Positive
O00241,Q93062,Positive
O00241,O43914,Positive
O00241,P29558,Negative
O00241,Q9NRM6,Negative
O00241,Q9UH17,Negative
O00716,Q96JM7,Positive
O00716,Q8WUY1,Negative
O00716,Q8NHC4,Negative
O00716,O00559,Negative
Q6VAB6,P27348,Negative
Q9H8L6,Q9BRX5,Negative
Q96KS0,Q16665,Positive
Q96KS0,Q9NYW5,Negative
Q96KS0,P52209,Negative
Q9UBM7,P31645,Negative
Q9UBM7,Q8NHG8,Negative
P24522,Q9GZX7,Positive
P24522,Q13561,Positive
P24522,Q8TAE8,Positive
P24522,P52564,Positive
P24522,P80303,Positive
P24522,Q9Y371,Positive
P24522,Q13569,Positive
Q13835,P02533,Positive
Q13835,P05783,Positive
Q13835,P05787,Positive
Q13835,P08670,Positive
Q13835,Q9UK55,Negative
Q13835,P29992,Negative
P40424,Q12948,Positive
P40424,P31314,Positive
P40424,Q9BQC6,Negative
P40424,D6RBM5,Negative
P40424,Q8TCH9,Negative
P40424,Q8N5W8,Negative
P40425,Q13515,Positive
P40425,Q9H257,Positive
P40425,P49639,Positive
P40425,P09067,Positive
P40425,Q00444,Positive
P40425,Q5JTD0,Negative
P40425,Q8IV32,Negative
P40425,P36955,Negative
P40425,Q8NCE2,Negative
P40425,O60806,Negative
P40426,O95983,Negative
P40429,O60809,Negative
P40429,Q9H0M4,Negative
P40429,Q5TYW2,Negative
P40429,Q8TAX7,Negative
Q71RG4,Q9BXK5,Positive
Q71RG4,O43765,Positive
Q71RG4,P30050,Negative
Q71RG4,O71037,Negative
Q71RG4,Q7RTS3,Negative
Q71RG4,Q6P1S2,Negative
P51991,P17706,Negative
Q13838,P09110,Positive
Q13838,Q86V81,Positive
Q13838,Q9Y3Y2,Positive
Q13838,O00148,Positive
Q13838,P82979,Positive
Q13838,O00560,Positive
Q13838,Q8NDX9,Negative
Q13838,Q8N159,Negative
Q13838,Q13285,Negative
Q13838,Q9UHF5,Negative
A6H8Z2,Q92764,Positive
A6H8Z2,P60410,Positive
A6H8Z2,Q8IWA0,Negative
A6H8Z2,A4D174,Negative
Q9H2I8,Q8NGG8,Negative
Q9H2I8,Q6GMR7,Negative
Q9H2I8,Q86YH2,Negative
A0A075B6S2,Q92889,Negative
A0A075B6S2,P41181,Negative
A0A075B6S2,O60894,Negative
O00212,Q9BUY5,Negative
P03891,A0A0U1RR37,Negative
P03891,E9PQR5,Negative
P03891,O43316,Negative
P03891,P05109,Negative
Q5VUR7,A8MU76,Negative
Q5VUR7,Q96L11,Negative
P48960,Q8IZY5,Negative
Q86WA6,Q8WUJ1,Negative
Q86WA6,A6NK06,Negative
Q86WA6,Q6ZRU5,Negative
Q86WA6,Q13487,Negative
P02768,Q8NDC0,Negative
P02768,P13688,Negative
P02768,A2RU48,Negative
P05386,P05387,Positive
P07902,Q96QU6,Negative
P07902,P0DPB6,Negative
P07902,Q9BQ65,Negative
P07902,Q76KX8,Negative
P21815,O15143,Negative
P21815,Q6ZVX9,Negative
P21815,Q6PEX3,Negative
P21815,Q9NX24,Negative
P21815,Q6S9Z5,Negative
P02760,P07858,Positive
P02760,Q13643,Positive
P02760,Q9NPR2,Negative
P02760,P47985,Negative
P02760,Q9H6R6,Negative
P02763,P05121,Positive
P02763,Q9NRW4,Negative
P02763,O75586,Negative
P02763,Q6ICC9,Negative
P02763,P27037,Negative
P02763,P25788,Negative
P02765,P16452,Negative
A0A075B6S6,Q14656,Negative
Q7L266,P35410,Negative
Q7L266,Q86YD1,Negative
Q9UQ07,P78410,Negative
Q9UQ07,P33121,Negative
Q9UQ07,P17812,Negative
Q9UQ07,Q96JY0,Negative
Q9H2G4,Q9ULW3,Positive
Q9H2G4,Q8TAD8,Positive
Q9UJ70,Q9NZ32,Positive
Q9UJ70,P42773,Positive
Q9UJ70,Q9UI36,Positive
Q9UJ70,P25800,Positive
Q9UJ70,Q8TBB1,Positive
Q9UJ70,P50221,Positive
Q9UJ70,Q04864,Positive
Q9UJ70,O00560,Positive
Q9UJ70,Q99081,Positive
Q9UJ70,Q96HA8,Positive
Q9UQ03,Q92624,Positive
Q9UQ03,Q5TA78,Negative
Q9UQ03,P31146,Negative
Q9UJ72,Q96F86,Positive
Q9UJ72,Q5H9M0,Negative
Q9UJ72,O14609,Negative
Q9UJ72,Q9HB09,Negative
O60508,Q9UMS4,Positive
Q15165,Q6DN72,Negative
Q15165,Q86WB0,Negative
Q15165,Q8NEM1,Negative
Q15165,P35475,Negative
Q9UJ78,P63165,Positive
Q9UJ78,P17516,Negative
Q9UJ78,Q8NH70,Negative
Q86WA9,Q86U70,Negative
Q86WA9,Q92930,Negative
Q86WA9,Q9UBT3,Negative
Q9GZN6,P63124,Negative
Q9GZN6,Q9H299,Negative
Q15544,Q92624,Positive
Q15544,Q15543,Positive
Q15544,Q8NGS4,Negative
O15254,Q9H1R2,Negative
O15254,P61573,Negative
O15254,Q9H607,Negative
O15255,Q96S99,Negative
Q9BZL1,O43290,Positive
Q9BZL1,Q9BRX9,Positive
Q9BZL1,Q5T7W0,Positive
Q9BZL1,Q92886,Negative
Q9BZL1,Q14123,Negative
Q9BZL1,O00214,Negative
Q9BZL1,P21741,Negative
P60153,Q96NF6,Negative
P60153,Q6ZMI3,Negative
P60153,Q16740,Negative
Q6ZTI6,Q9UKU0,Negative
Q6ZTI6,Q8N3X1,Negative
Q6ZTI6,Q96EP9,Negative
Q6ZTI6,O95398,Negative
O15258,Q9NXW9,Negative
O15258,Q9UKL4,Negative
O15258,Q9Y6H3,Negative
O15258,Q13516,Negative
O15258,Q8NCL8,Negative
O15259,Q9H2F3,Negative
Q6ZTI0,P61916,Negative
Q6ZTI0,Q969F1,Negative
P51504,Q86X02,Positive
P51504,Q9H3D4,Negative
P51504,P0DMM9,Negative
Q6ZT83,P04049,Negative
Q6ZT83,Q6EEV4,Negative
Q6ZT83,Q9UJ72,Negative
Q6ZT83,Q8WWF3,Negative
Q6ZT83,Q9Y3A6,Negative
P29401,P54274,Positive
P29401,Q5T280,Negative
P29401,Q9H4M3,Negative
P29401,Q6Y1H2,Negative
A6NNH2,Q11201,Negative
Q9H0S4,O95166,Positive
Q96DX7,Q86WT6,Positive
Q96DX7,Q01780,Negative
Q96DX7,P51649,Negative
Q96DX7,Q8WXF8,Negative
P07900,O95433,Positive
P07900,Q8IWD4,Positive
P07900,Q16543,Positive
P07900,Q7L3B6,Positive
P07900,P50750,Positive
P07900,Q96G23,Positive
P07900,Q9UHD1,Positive
P07900,Q02790,Positive
P07900,Q14318,Positive
P07900,Q9Y6K9,Positive
P07900,Q9UHH9,Positive
P07900,P05412,Positive
P07900,Q8WVJ2,Positive
P07900,P43034,Positive
P07900,P53041,Positive
P07900,Q15185,Positive
P07900,P61247,Positive
P07900,Q15831,Positive
P07900,Q9UNE7,Positive
P07900,Q9HCQ7,Negative
P39023,Q6SA08,Negative
H0YL14,O15484,Negative
H0YL14,Q96IG2,Negative
H0YL14,Q6P1M0,Negative
H0YL14,Q9NQV5,Negative
P21731,Q13162,Positive
P21731,Q9UI08,Negative
Q96CS2,Q96MA6,Positive
Q96CS2,P53365,Positive
Q96CS2,Q9UL45,Positive
Q96CS2,Q6ZUJ4,Positive
Q96CS2,Q8TC20,Positive
Q96CS2,Q96M63,Positive
Q96CS2,Q2TAC2,Positive
Q96CS2,Q01850,Positive
Q96CS2,Q96L14,Positive
Q96CS2,Q9C0F1,Positive
Q96CS2,Q53EZ4,Positive
Q96CS2,Q96MT8,Positive
Q96CS2,Q8NHQ1,Positive
Q96CS2,Q13561,Positive
Q96CS2,Q96EV8,Positive
Q96CS2,Q9NVK5,Positive
Q96CS2,Q9H6D7,Positive
Q96CS2,Q7Z4H7,Positive
Q96CS2,O14879,Positive
Q96CS2,Q8IY31,Positive
Q96CS2,Q0VD86,Positive
Q96CS2,O60341,Positive
Q96CS2,Q9BVG8,Positive
Q96CS2,P19012,Positive
Q96CS2,P05783,Positive
Q96CS2,P08727,Positive
Q96CS2,Q15323,Positive
Q96CS2,O76015,Positive
Q96CS2,Q6A162,Positive
Q96CS2,Q9BQD3,Positive
Q96CS2,O95751,Positive
Q96CS2,Q96LR2,Positive
Q96CS2,Q9Y6D9,Positive
Q96CS2,P43360,Positive
Q96CS2,Q9NPJ6,Positive
Q96CS2,Q8TD10,Positive
Q96CS2,O14777,Positive
Q96CS2,Q7Z3B4,Positive
Q96CS2,P37198,Positive
Q96CS2,Q8NA61,Positive
Q96CS2,O75558,Positive
Q96CS2,Q8N0S2,Positive
Q96CS2,A1L190,Positive
Q96CS2,Q9UBB9,Positive
Q96CS2,Q13077,Positive
Q96CS2,P36406,Positive
Q96CS2,P14373,Positive
Q96CS2,Q9BYV2,Positive
Q96CS2,Q86WT6,Positive
Q96CS2,Q99816,Positive
Q96CS2,Q8N6Y0,Positive
Q96CS2,Q8N1B4,Positive
Q96CS2,Q9Y3C0,Positive
Q96CS2,Q6DHY5,Negative
Q96CS2,Q7LG56,Negative
Q96CS2,Q5T8I9,Negative
Q96CS2,Q8NFF2,Negative
A8MZG2,Q6UY18,Negative
A8MZG2,Q86T29,Negative
A8MZG2,Q96JW4,Negative
A8MZG2,Q9Y2W2,Negative
Q5W111,Q13554,Positive
Q5W111,Q86UT5,Positive
Q5W111,Q15645,Positive
Q5W111,Q08AM6,Positive
Q5W111,O75531,Negative
Q9P215,Q99680,Negative
P62807,Q96CW1,Positive
P62805,P35609,Positive
P62805,Q9Y294,Positive
P62805,P25440,Positive
P62805,P49450,Positive
P62805,Q9NQ92,Positive
P62805,P84243,Positive
P62805,O14929,Positive
P62805,Q13547,Positive
P62805,P68431,Positive
P62805,Q71DI3,Positive
P62805,Q16695,Positive
P62805,Q9H9V9,Positive
P62805,O75164,Positive
P62805,Q9NQR1,Positive
P62805,Q9Y468,Positive
P62805,P49736,Positive
P62805,P25205,Positive
P62805,P33992,Positive
P62805,Q9BVI0,Positive
P62805,A8MW92,Positive
P62805,Q99873,Positive
P62805,O14744,Positive
P62805,Q16576,Positive
P62805,Q8IUQ4,Positive
P62805,O60264,Positive
P62805,Q04724,Positive
P62805,P63104,Positive
P62805,Q86YW5,Negative
Q9UK17,Q9NZI2,Positive
Q9UK17,P57789,Negative
Q9UK17,Q6XD76,Negative
Q9UK17,Q99719,Negative
P07099,Q8IVN8,Negative
P07099,P63131,Negative
P07099,P0C866,Negative
P07099,Q04743,Negative
Q92832,Q6UW56,Positive
Q92832,P0DMU4,Negative
Q92831,Q9Y5W3,Positive
Q92831,Q8IXJ6,Positive
Q92831,Q16594,Positive
Q92831,Q15672,Positive
Q92831,P22415,Positive
Q92837,P49840,Positive
Q92837,P49841,Positive
Q92837,Q9NPA0,Negative
Q92837,Q9P2I0,Negative
Q9H3M9,Q8WXS4,Negative
Q9H3M9,Q99633,Negative
Q9H3M9,P01860,Negative
P21452,P20366,Positive
Q969K7,A0PJZ0,Negative
Q969K7,Q8IYM9,Negative
Q969K7,Q96M98,Negative
Q969K4,Q13618,Positive
Q969K4,Q05639,Positive
Q969K4,Q9UQ07,Negative
Q969K4,Q96T25,Negative
Q969K4,Q9Y3C8,Negative
Q92838,P27449,Positive
Q92838,P49447,Positive
Q92838,Q9UPQ8,Positive
Q92838,P54852,Positive
Q92838,Q96F15,Positive
Q92838,P21145,Positive
Q92838,Q6P499,Positive
Q92838,Q9NRP0,Positive
Q92838,P26678,Positive
Q92838,Q96IW7,Positive
Q92838,Q6PCB0,Negative
Q9H3M0,O95363,Positive
Q9H3M0,P61812,Negative
Q9H3M0,Q9H2X8,Negative
Q9H3M0,Q0VDG4,Negative
P51878,P48066,Negative
P51878,O60664,Negative
O60603,P61073,Positive
Q9Y6E2,P20042,Positive
Q9Y6E2,O14894,Negative
Q9Y6E2,P12532,Negative
Q9Y6E2,Q6ZNR0,Negative
Q9Y6E2,Q9H1Q7,Negative
Q8TAL5,Q7Z3H0,Negative
Q8TAL5,Q9Y6C9,Negative
Q8TAL5,Q8NE35,Negative
Q8TAL5,Q9BR61,Negative
Q8TAL6,O75954,Negative
Q8TAL6,P0C628,Negative
Q8TAL6,Q1L6U9,Negative
Q8TAL6,Q02878,Negative
Q8TAL6,Q99720,Negative
Q9BZG2,P14138,Negative
Q9BZG2,Q99643,Negative
Q9UHB4,Q6FI81,Positive
Q9UHB4,Q9BT92,Positive
Q9UHB4,Q9UHD9,Positive
O43930,P07288,Negative
O43930,P08620,Negative
O43930,P15151,Negative
O43930,O00515,Negative
Q9NZL9,O00505,Positive
Q9NZL9,O00629,Positive
Q9NZL9,P31153,Positive
Q9NZL9,P14373,Positive
Q9NZL9,Q9Y253,Negative
Q9NZL9,Q99742,Negative
Q9BZG8,Q12800,Positive
Q9BZG8,Q9UNL2,Negative
Q9BZG8,Q86V25,Negative
Q9BZG8,Q9H255,Negative
Q9BVC6,P50213,Negative
Q9BVC6,Q13404,Negative
Q8NBD8,O00526,Negative
Q9Y592,Q96JY6,Negative
Q9Y592,P46597,Negative
P01236,Q8NG99,Negative
Q92598,Q71DI3,Negative
Q8N865,Q96KC8,Negative
Q09160,O14908,Negative
Q09160,Q8NG78,Negative
Q09160,Q9NQ48,Negative
P50225,O00204,Positive
P50225,P01344,Negative
P50225,P0DMU2,Negative
P50225,P82664,Negative
P50225,Q5JXX7,Negative
P50225,Q86YS3,Negative
A6NCC3,Q8IYI8,Negative
A6NCC3,Q9UG56,Negative
A6NCC3,Q8WWH4,Negative
Q05952,Q06141,Negative
Q6NX49,O76003,Positive
Q6NX49,Q9GZM8,Positive
Q6NX49,Q12933,Positive
Q6NX49,Q6PIV7,Negative
B3EWG3,Q8IXM6,Negative
Q9UKZ9,Q8TC26,Negative
P53708,P51671,Negative
P04035,Q9Y5Z9,Positive
P04035,Q96R54,Negative
Q5DJT8,P60006,Negative
Q5DJT8,Q5T681,Negative
Q5DJT8,Q9H4H8,Negative
Q5DJT8,Q01954,Negative
Q9UKZ1,Q53TS8,Positive
Q9UKZ1,P52926,Negative
P53701,Q99538,Negative
Q6P2H8,O14948,Negative
Q6P2H8,O95196,Negative
Q6P2H8,Q14695,Negative
Q8N4P2,Q9BPU9,Positive
Q8N4P2,Q9UJU5,Negative
Q8N4P2,S4R3P1,Negative
Q8N4P2,P23381,Negative
Q8N4P2,Q9HA72,Negative
Q8NFQ6,Q15526,Negative
Q8NFQ6,A0A0G2JMD5,Negative
Q8NFQ6,P15309,Negative
Q8NFQ5,P29033,Negative
Q8NFQ5,Q6ZVK1,Negative
Q8NFQ5,Q9HDC9,Negative
O60635,Q14995,Negative
Q14563,Q8IUC0,Negative
Q86TG1,P60410,Positive
Q86TG1,Q7Z3S9,Positive
Q86TG1,Q7RTV3,Negative
Q14566,P42771,Positive
Q14566,P50583,Positive
Q14566,P08579,Positive
Q14565,Q9H8Y8,Positive
Q14565,Q8N5Z5,Positive
Q14565,Q9GZT8,Positive
Q14565,P25788,Positive
Q14565,O00560,Positive
Q14565,P36406,Positive
Q14565,Q8N228,Negative
Q14565,A2VDF0,Negative
Q14565,Q5RGS3,Negative
Q9NWM0,Q16560,Negative
Q6P1A2,Q96CK0,Negative
Q7Z5L7,Q9H169,Negative
Q7Z5L7,Q7Z7J5,Negative
Q7Z5L7,Q96D03,Negative
Q9NRH2,Q5MNZ6,Negative
Q496J9,Q8TF74,Negative
A6NIR3,Q5JPI9,Negative
Q9UHF3,Q99952,Negative
Q9UHF3,Q9NXR7,Negative
Q9UHF3,O43639,Negative
Q9UHF3,P30483,Negative
Q96PG8,P40197,Negative
Q96PG8,Q9UNH5,Negative
Q96PG8,Q9C035,Negative
Q9UHF5,Q9BY43,Negative
Q9UHF5,P05538,Negative
Q9UHF4,Q8NAS9,Negative
Q9UHF4,Q02297,Negative
Q9H112,P08579,Negative
Q9H112,P51674,Negative
Q9H112,A6NFU0,Negative
Q9H112,Q13621,Negative
Q96PG1,P0C645,Negative
Q96PG1,Q9BVM4,Negative
P41217,Q8TD46,Positive
P41217,Q6JVE6,Negative
P41212,Q9BXS5,Positive
P41212,Q96HA8,Positive
P41212,A0A0C4DH29,Negative
Q92527,P78345,Negative
Q92527,Q9H9P5,Negative
Q92527,P15814,Negative
Q92527,P07288,Negative
Q92526,O95816,Negative
Q92526,Q6ZS72,Negative
Q92526,Q9NPF8,Negative
Q92526,Q96NC0,Negative
Q92526,Q9BUK6,Negative
Q92520,Q96BA8,Positive
Q92520,Q9Y639,Negative
Q92523,Q53QW1,Positive
Q92523,Q9NZD1,Negative
Q92523,Q9Y606,Negative
Q7Z5L2,Q8IW40,Positive
Q8NHX9,O00165,Positive
Q8NHX9,A6NCW3,Negative
Q8NHX9,P02724,Negative
Q86VY9,Q9UJ96,Negative
P35452,Q13077,Positive
P35452,Q7Z6J0,Negative
P35452,Q9UJU3,Negative
P35452,Q8NC01,Negative
P35452,Q9Y5E2,Negative
Q9H4P4,Q9NWX5,Positive
Q9H4P4,Q9NX04,Positive
Q9H4P4,Q9UHY7,Positive
Q9H4P4,Q9NSB8,Positive
Q9H4P4,Q86U28,Positive
Q9H4P4,Q9BRK4,Positive
Q9H4P4,O15049,Positive
Q9H4P4,P35249,Positive
Q9H4P4,Q7LG56,Positive
Q9H4P4,Q9GZT4,Positive
Q9H4P4,Q99614,Positive
Q9H4P4,Q8N1B4,Positive
Q9H4P4,Q8NGH7,Negative
Q9H4P4,Q7Z2X7,Negative
Q9H4P4,Q969E4,Negative
Q9UHH9,P07900,Positive
Q9UHH9,P50222,Positive
Q9UHH9,Q93062,Positive
Q9UHH9,P04637,Positive
Q9UHH9,P11310,Negative
Q9UHH9,P51817,Negative
Q9UHH9,P09486,Negative
Q5TG92,A0A087WSX0,Negative
Q5TG92,P30101,Negative
P23352,Q7KYR7,Negative
P23352,Q8TCZ7,Negative
P23352,P24298,Negative
A0A087WXS9,O43657,Negative
Q9Y5S8,Q8IUE0,Negative
Q9Y5S8,Q5JVF3,Negative
Q9Y5S8,Q3SXM0,Negative
Q9Y5S8,A0A075B6S4,Negative
Q5MJ70,Q14184,Negative
Q5MJ70,P49703,Negative
Q5MJ70,Q9UMX9,Negative
Q5MJ70,P78356,Negative
Q5T9C2,Q9H0I2,Positive
Q5T9C2,Q99961,Positive
Q5T9C2,Q86WV1,Positive
Q5T9C2,P01700,Negative
Q5T9C2,P62875,Negative
Q53HV7,Q52LG2,Positive
Q53HV7,O75360,Positive
Q53HV7,Q93062,Positive
Q53HV7,Q08AM6,Positive
Q53HV7,P26678,Negative
Q53HV7,Q8NBS9,Negative
Q5T9C9,Q6DKI7,Negative
Q5T9C9,Q9NWS9,Negative
Q5T9C9,O75689,Negative
Q02878,Q9UQ80,Negative
Q9HAP6,Q13368,Positive
Q9HAP6,Q9Y2U5,Negative
Q9HAP6,Q16581,Negative
Q9HAP6,Q13077,Negative
Q9HAP6,O43900,Negative
P27449,Q96G23,Positive
P27449,Q6ZS10,Positive
P27449,Q92838,Positive
P27449,P21757,Positive
P27449,P25788,Positive
P27449,Q9BZL3,Positive
P27449,Q92562,Negative
P07203,Q8TEV8,Negative
P07203,Q5TAA0,Negative
P07203,P09543,Negative
Q96DR8,A8MYV0,Negative
Q96DR8,Q13061,Negative
Q96DR8,Q8NGY0,Negative
Q96HA4,P42574,Negative
Q96HA4,Q6NTF9,Negative
P07202,Q9Y535,Negative
P86397,Q8IW50,Negative
Q6PII5,Q9UBT2,Negative
Q6PII5,Q14761,Negative
Q96HA9,Q5TEU4,Negative
Q96HA9,Q12982,Negative
Q96HA9,Q9BXJ8,Negative
Q96HA9,O14579,Negative
Q96HA8,P60709,Positive
Q96HA8,P63261,Positive
Q96HA8,Q96GX9,Positive
Q96HA8,P04424,Positive
Q96HA8,Q13490,Positive
Q96HA8,Q13867,Positive
Q96HA8,Q9BX70,Positive
Q96HA8,Q9BV19,Positive
Q96HA8,P20807,Positive
Q96HA8,P55212,Positive
Q96HA8,Q68D86,Positive
Q96HA8,Q52MB2,Positive
Q96HA8,P32320,Positive
Q96HA8,Q01850,Positive
Q96HA8,Q53EZ4,Positive
Q96HA8,Q9Y2V7,Positive
Q96HA8,P38432,Positive
Q96HA8,P02489,Positive
Q96HA8,P32929,Positive
Q96HA8,O75553,Positive
Q96HA8,Q9H773,Positive
Q96HA8,P49366,Positive
Q96HA8,Q8WWZ3,Positive
Q96HA8,Q14232,Positive
Q96HA8,P41212,Positive
Q96HA8,O60861,Positive
Q96HA8,O60547,Positive
Q96HA8,Q14749,Positive
Q96HA8,Q08379,Positive
Q96HA8,P00492,Positive
Q96HA8,Q9BPX1,Positive
Q96HA8,P14923,Positive
Q96HA8,O95259,Positive
Q96HA8,Q719H9,Positive
Q96HA8,Q9H3F6,Positive
Q96HA8,Q53G59,Positive
Q96HA8,Q15323,Positive
Q96HA8,P60370,Positive
Q96HA8,P60409,Positive
Q96HA8,Q9BYR5,Positive
Q96HA8,P26371,Positive
Q96HA8,Q9BYQ4,Positive
Q96HA8,Q9BYQ2,Positive
Q96HA8,Q5T752,Positive
Q96HA8,Q5T753,Positive
Q96HA8,Q17RB8,Positive
Q96HA8,Q9NQ48,Positive
Q96HA8,Q9BRK4,Positive
Q96HA8,P43356,Positive
Q96HA8,Q8NA82,Positive
Q96HA8,P15531,Positive
Q96HA8,Q9BXD5,Positive
Q96HA8,Q9BXI3,Positive
Q96HA8,O95848,Positive
Q96HA8,Q9P286,Positive
Q96HA8,P61457,Positive
Q96HA8,Q8WWB5,Positive
Q96HA8,P51178,Positive
Q96HA8,Q8ND90,Positive
Q96HA8,Q96PV4,Positive
Q96HA8,Q96CD2,Positive
Q96HA8,Q99873,Positive
Q96HA8,P11908,Positive
Q96HA8,P61289,Positive
Q96HA8,P11217,Positive
Q96HA8,Q9UI14,Positive
Q96HA8,Q92698,Positive
Q96HA8,Q93062,Positive
Q96HA8,Q9HAT0,Positive
Q96HA8,P49247,Positive
Q96HA8,Q9UH03,Positive
Q96HA8,P31947,Positive
Q96HA8,Q8IUQ4,Positive
Q96HA8,O75558,Positive
Q96HA8,P56279,Positive
Q96HA8,Q9NVV9,Positive
Q96HA8,Q8WW34,Positive
Q96HA8,Q9H0E2,Positive
Q96HA8,P14373,Positive
Q96HA8,Q9BYV2,Positive
Q96HA8,Q15645,Positive
Q96HA8,Q15631,Positive
Q96HA8,Q08AM6,Positive
Q96HA8,A5D8V6,Positive
Q96HA8,P98170,Positive
Q96HA8,Q96BR9,Positive
Q96HA8,Q9BYN7,Positive
Q96HA8,Q8IVW8,Negative
Q96HA8,Q9HB14,Negative
Q96HA8,Q9Y5J3,Negative
P07204,P00734,Positive
P07204,Q9NRG1,Negative
P07204,Q01546,Negative
P07204,A6NHS1,Negative
P07204,Q96FV2,Negative
O75164,P68431,Positive
O75164,P62805,Positive
